pure_org_id	org_name
cd6ef39c-1460-4f1b-ac32-d4c60f310025	Bristol Doctoral College
8da58034-6c06-435d-a6ac-fef4ed2d3260	Intelligent Systems Laboratory
8cbbccf6-6638-43d4-ac2e-3c89a3bb3673	Academic Respiratory Unit
c0347f3a-1376-405f-aca9-7d3d008a9701	Cabot Institute
37eed9f6-1be6-4712-a00e-6c1c9b8869e9	Systems Neuroendocrinology Research Group
facda118-05b4-47ac-9bb1-49be17077fce	Digital Cultures And Methods
35fbbd8c-3779-4e0a-a8ad-d25626d8d5ca	Centre For Psychological Approaches For Studying Education
c3ea22d3-3a1f-42da-b904-a6a13e3797b0	Applied Mathematics
1bcfb6be-8392-4fdd-b1fd-bc2ed4e8e86a	Teaching And Learning For Health Professionals
0bb03298-6c72-418c-9020-f44a58f90f38	Bristol Dental School
82931202-dd98-49c6-a5a5-ea2625696a4e	Atmospheric And Global Change Chemistry
4424df25-11e5-40a2-b233-8bef551b39ad	Biostatistics Epidemiology Mathematics And Ecology
1c571ea3-56d8-4599-ab9b-f3111b77670a	Arts Faculty Office
2ffca783-5307-4ae5-8bc7-113bcf9f5940	Probability Analysis And Dynamics
f44afa62-5a73-45ca-baa4-df8b7b7fca02	Bristol Robotics Laboratory
c8341ac8-06c6-49f0-8f56-cd82f52efcc2	Ecology And Environmental Change
175e79fa-4107-4b25-8c5f-d18c216dfb98	School Of Earth Sciences
98a9fd24-41d2-4600-ad7a-54950226db63	Bristol Medical School
3ea7f34e-25cd-47f7-808f-2a8206fb51f9	Centre For It  Law
d8980b07-d34a-4faa-8afe-e70e2cd4bfc3	Centre For Knowledge Culture And Society
417a0d13-b940-40c7-8f38-6ac7477ed024	Dynamic Cell Biology
1640a51e-1f37-4729-80d1-ce6facf84108	Computational And Theoretical Chemistry
c0eb7e60-e19d-45a4-87c3-9917c34bdae9	Fluid And Aerodynamics
2060b297-aa04-475f-9996-5e9473931400	Farm Animal Science
8cb4f725-bf86-48a4-94ca-ac3f9356d6fd	Composites University Technology Centre Utc
ead70271-536b-40f1-b471-3631cc0ec6d4	Bristol Vision Institute
52cbc743-fd24-4eb2-868d-6530f8cc3817	Bristol Composites Institute Accis
e3215c94-2091-4f3a-a1eb-fd5e3aa7fec1	Orthopaedic Surgery
f696064b-b05d-4747-a881-2757670740c7	Brain Tumour Centre
ca71d946-fcbd-4145-b0d0-348ec694239e	Global Insecurities
ea636fb7-fc8d-46b2-84f5-f1a42a9b117f	Bristol Medical School Ths
0c45c511-68fe-4a0c-a1f7-b5c29cff1572	Interface Analysis Centre
a82c1c43-b67a-41f9-b837-de3824427c39	Water And Environmental Engineering
193e0101-0b12-4ee9-9ac3-3bb8aee5e3a0	Vision Group
d410842f-3854-4993-b2ed-3e5f295fc29f	Tobacco And Alcohol
2f18e285-9bb5-4030-94bc-98c13edde3ab	Institute For Advanced Studies
8655c949-76d3-45a4-8309-b2510b88fa84	Laboratories For Integrative Neuroscience And Endocrinology
67208671-9331-457c-ba27-808a49c64d5c	Statistics
9490faa0-c645-4f86-8512-c801b046eecb	Stem Cells And Neuroregeneration Research Group
fb60b497-03ef-4c61-81a4-5e01421dda32	Human Rights Implementation Centre
af4a4d97-2194-4d16-9b78-d7540a9a3d68	Health Protection Research Unit Hpru
db7e08d7-023c-4648-b73e-0552dbb4484a	European Law
5095c249-adb3-47c5-9a69-c98861327cbc	Functional Neurosurgery
09c5e575-d05e-4551-9d84-8bdd0035c280	School Of Biological Sciences
f54add52-720b-4679-8119-24ec3aaf6f63	Bristol Medical School Phs
4c971e08-fb4a-4263-a17c-f0c234e29e6a	School Of Sociology Politics And International Studies
e00e43a0-65a9-47ae-a8a8-e5223ab8c65e	Aninet
70fc9ea1-4dac-43a9-89b9-e02b02ea2eaf	Reception
65a9687c-1015-4620-bcbb-60c5904c422d	Department Of Music
30385056-f911-42d1-9c22-e7035bea1a55	Mathematics Education Research Network Mern
